polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
EUS-01-0038_FCXP_segment-9,291231.5629,288754.5539,30.6544,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291232.0329,288753.4405,30.636,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291234.0657,288747.2815,30.5235,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291235.9285,288742.2277,30.4271,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291238.3423,288735.3577,30.3012,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291240.7613,288728.6879,30.2336,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291243.1803,288722.0179,30.064,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291245.8803,288714.6401,29.926,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291247.5705,288710.5915,29.8422,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291250.5813,288703.6053,29.6279,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291253.2059,288697.1299,29.5617,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291256.3111,288689.9409,29.4047,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291259.4219,288682.9521,29.2502,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291262.1601,288676.9739,29.124,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291263.7723,288673.7279,29.0587,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291266.2297,288668.4577,28.9623,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291268.4035,288663.7957,28.897,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
EUS-01-0038_FCXP_segment-9,291270.4855,288659.4363,28.7918,"Cast iron, lead-yarn joints (pre-1914) TW",152.4,10.922,3.658
